Epoch,train_accs,val_accs
1,21.99074074074074,48.888888888888886
2,57.77777777777778,68.14814814814815
3,74.95370370370371,76.11111111111111
4,81.85185185185185,79.62962962962963
5,84.72222222222223,82.77777777777777
6,86.43518518518519,83.70370370370371
7,87.36111111111111,84.62962962962963
8,88.51851851851852,85.0
9,88.37962962962963,86.48148148148148
10,89.72222222222223,86.11111111111111
